제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
김은아 피아노 리사이틀,2025-05-13,2025-05-13,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70306
강남심포니오케스트라 제110회 정기연주회,2025-05-13,2025-05-13,클래식,재단법인 강남문화재단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73860
아코르데 작곡가 시리즈 I,2025-05-13,2025-05-13,클래식,CLASSICO,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=72453
비올리스트 권오현 힌데미트 소나타 전곡 시리즈 1,2025-05-11,2025-05-11,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70307
"그리스 로마 신화, 클래식을 만나다",2025-05-11,2025-05-11,클래식,(주)스톰프뮤직,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=72369
브루스 리우 피아노 리사이틀,2025-05-11,2025-05-11,클래식,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70443
임홍균 바이올린 독주회,2025-05-11,2025-05-11,클래식,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70444
이현정 첼로 독주회,2025-05-11,2025-05-11,독주,예인예술기획,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73926
박은혜 피아노 독주회,2025-05-10,2025-05-10,독주,지클레프,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70445
현대한국화협회44주년대작전,2025-05-10,2025-05-18,전시,(사)현대한국화협회,대관,"한가람미술관제5전시실,한가람미술관제5전시실",https://www.sac.or.kr/site/main/show/show_view?SN=72601
필하모니코리아 정기연주회,2025-05-10,2025-05-10,클래식,(주)더브릿지컴퍼니,대관,"콘서트홀,콘서트홀",https://www.sac.or.kr/site/main/show/show_view?SN=69654
코리안챔버오케스트라 창단 60주년 기념 베토벤 교향곡 전곡 연주 시리즈 III,2025-05-10,2025-05-10,클래식,(사)코리안챔버오케스트라,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70560
이효원 리코더 독주회,2025-05-10,2025-05-10,독주,커먼타임,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69655
유재경 피아노 독주회,2025-05-10,2025-05-10,클래식,음악교육신문사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69950
2025 메세나 콘서트,2025-05-10,2025-05-10,클래식,한국메세나협회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=71970
이루사 김세은 피아노 듀오 리사이틀,2025-05-09,2025-05-09,실내악,가온클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69704
"창작가무극 <윤동주, 달을 쏘다>",2025-05-09,2025-05-18,기타(복합),서울예술단,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=67680
샤를 리샤르-아믈랭 피아노 리사이틀,2025-05-09,2025-05-09,클래식,(주)더브릿지컴퍼니,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70141
노안나 첼로 독주회 `비르투오조`,2025-05-08,2025-05-08,클래식,MUZIKAN,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73660
한화생명과 함께하는 예술의전당 11시 콘서트(5월),2025-05-08,2025-05-08,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66227
임지희 바이올린 독주회,2025-05-08,2025-05-08,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70308
IBK기업은행 WIN CLASS 고객사랑 음악회,2025-05-08,2025-05-08,,기업은행,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=68470
2025 CMSS Festival III 창악회 제67회 정기연주회,2025-05-07,2025-05-07,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70581
최미애 피아노 독주회,2025-05-07,2025-05-07,클래식,스토리피아노,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=69705
디즈니 & 픽사 OST 콘서트,2025-05-07,2025-05-07,클래식,사단법인 서울시민간오케스트라연합회,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=75201
김유경 바이올린 독주회,2025-05-07,2025-05-07,클래식,지클레프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=75387
국립발레단_카멜리아 레이디,2025-05-07,2025-05-11,발레,(재)국립발레단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=73661
클래시칸 앙상블의 시그니처 콘서트,2025-05-06,2025-05-06,실내악,지클레프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70448
김선주 피아노 독주회 XX,2025-05-06,2025-05-06,독주,써니스,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=71685
2025 CMSS Festival II,2025-05-06,2025-05-06,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70582
 디 오리지널 시리즈 2025 베토벤 페노메논 with 임현정,2025-05-06,2025-05-06,클래식,(사)오케스트라디오리지널,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=72097
2025 서울스프링실내악축제 폐막 공연,2025-05-04,2025-05-04,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=72481
문지원 바이올린 독주회,2025-05-04,2025-05-04,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70143
조혜경 피아노 독주회,2025-05-04,2025-05-04,클래식,AMS엔터,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=74562
애니메이션 심포니 페스티벌,2025-05-04,2025-05-04,클래식,(주)스톰프뮤직,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73861
서울클라리넷 앙상블과 함께하는 어린이날 콘서트,2025-05-04,2025-05-04,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=72454
김재혁 귀국 피아노 독주회,2025-05-03,2025-05-03,독주,이든예술기획 주식회사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=71661
피아니스트 양 지 리사이틀: 어린이를 위한 피아노 음악 - W.A. Mozart,2025-05-03,2025-05-03,독주,(주)음연,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70079
코리안챔버오케스트라 창단 60주년 기념 전시,2025-05-03,2025-05-10,전시,(사)코리안챔버오케스트라,대관,한가람미술관제7전시실,https://www.sac.or.kr/site/main/show/show_view?SN=72861
어린이 음악회 - 목관오중주로 듣는 피터와 늑대,2025-05-03,2025-05-03,실내악,주식회사 원아트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70449
블라디미르 유롭스키 & 베를린 방송교향악단,2025-05-03,2025-05-03,클래식,(주)빈체로,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=72823
변새봄 첼로 독주회,2025-05-03,2025-05-03,독주,드림클래식코리아,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69951
2025 서울스프링실내악축제 0503,2025-05-03,2025-05-03,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69706
"Accidentally, but Eventually",2025-05-02,2025-05-10,전시,유지은,대관,한가람디자인미술관제3전시실,https://www.sac.or.kr/site/main/show/show_view?SN=72841
윤현임 플루트 독주회,2025-05-02,2025-05-02,클래식,인터뮤직,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=73662
앤서니 브라운展 마스터 오브 스토리텔링,2025-05-02,2025-09-28,전시,(주)아트센터이다,대관,"한가람미술관제3전시실,한가람미술관제3전시실",https://www.sac.or.kr/site/main/show/show_view?SN=72901
심소정의 하프 시리즈 III:The Golden Gift,2025-05-02,2025-05-02,독주,케이클래식스테이지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70763
국제섬유미술제,2025-05-02,2025-05-10,전시,화이버아트페어,대관,"한가람디자인미술관제1전시실,한가람디자인미술관제1전시실",https://www.sac.or.kr/site/main/show/show_view?SN=72902
KBS교향악단 제813회 정기연주회,2025-05-02,2025-05-02,클래식,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=67269
2025 서울스프링실내악축제 0502,2025-05-02,2025-05-02,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69707
정민경&강미사 듀오 리사이틀1,2025-05-01,2025-05-01,실내악,CLASSICO,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69656
크리스티안 테츨라프 바이올린 리사이틀,2025-05-01,2025-05-01,클래식,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70450
